Pattern,PA,PA-I,PA-II,CSPA_1,CSPA_2,CSPA-ℓ1,CSPA-ℓ2,CSPA_1-ℓ^I,CSPA_1-ℓ^II,CSPA_2-ℓ^I,CSPA_2-ℓ^II
Up-trend,0.6072192347093056,0.6013292041122557,0.6072749762148215,0.6510053312658243,0.652210977819041,0.6335692027882928,0.6107383253241313,0.6545011923964239,0.6562219743100854,0.6582743325293718,0.6584859019763236
Down-trend,0.6208510561699006,0.622851024466782,0.6214598748421772,0.6590044583953379,0.6654973896026093,0.651614161377992,0.6231657684964402,0.6658540240311641,0.6718978454361622,0.6672734296469431,0.6687295742724287
Up-shift,0.5240502408462111,0.4987780235892716,0.5259784634570643,0.5505887007085997,0.5587177109791519,0.5314455232344236,0.5266463336421001,0.5647049969031157,0.5793246385736633,0.5472801164563015,0.5773781439235353
Down-shift,0.5205381298542539,0.5213833678722126,0.5207644620570726,0.5529972669514369,0.5593730953684029,0.5308181127209363,0.5136725989438529,0.5614580028434772,0.5832752064827605,0.5870070604137219,0.5582151264713708
Systematic,0.5231269668600927,0.527010878440614,0.5060450198107411,0.5450777505533767,0.5513745790714975,0.5368256524333952,0.5303913564510754,0.5546271507914943,0.5688526506389706,0.5901485252140823,0.5865898899629874
Cyclic,0.4999881062293662,0.5036180772724559,0.509308970851773,0.5247436699009708,0.5070683451023819,0.5155199958948906,0.5071246397894517,0.5201207450409822,0.5157127328836761,0.5261041980327098,0.5227992909612899
