Algorithm,Captured Time,Mistakes,Mistakes (Std),Updates,Time,Accuracies,Accuracies (Std),Sensitivities,Sensitivities (Std),Specificities,Specificities (Std),Precisions,Precisions (Std),G-Mean,G-Mean (Std),Kappas,Kappas (Std),MCCs,MCCs (Std),Cumulative Errors,Cumulative Errors (Std),Sum,Sum (Std),Dataset
Gaussian_Kernel_Perceptron,67.0,0.5791044776119403,0.13321261335334136,62.25,0.002361893653869629,0.4208955223880596,0.13321261335334136,0.6098325632122477,0.06579219071927547,0.547950988200957,0.02341645574497389,0.547950988200957,0.02341645574497389,0.5775454586572335,0.040146371614075006,0.06994566027121167,0.050631565551841194,0.14199291899527797,0.07037655864184905,0.5791044776119403,0.13321261335334136,0.5788917757066023,0.0415367530010763,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,134.0,0.4779850746268656,0.07374384297937624,123.6,0.01343841552734375,0.5220149253731343,0.07374384297937622,0.6959292548961171,0.041912727042614305,0.5730865580839479,0.01955907689018151,0.5730865580839479,0.01955907689018151,0.631362551240838,0.02706045402617058,0.13147217110242576,0.04703872329088097,0.23800032479811284,0.05223003505294347,0.4779850746268656,0.07374384297937624,0.6345079064900325,0.028221047212784057,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,201.0,0.43855721393034824,0.060999062465279155,185.65,0.03553098440170288,0.5614427860696517,0.06099906246527916,0.7251895624221324,0.028708311343588214,0.5798012336196832,0.014367398484403326,0.5798012336196832,0.014367398484403326,0.6483702185018598,0.01934529167297168,0.15434891020279345,0.03968079980217787,0.267545054260368,0.038350672190101874,0.43855721393034824,0.060999062465279155,0.6524953980209077,0.02009567477463972,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,268.0,0.4110074626865671,0.04964614988357525,247.35,0.056336474418640134,0.5889925373134329,0.04964614988357525,0.7461359983754756,0.026350679662302347,0.5876383259513271,0.01704279616487017,0.5876383259513271,0.01704279616487017,0.6621252241503528,0.02020338991010973,0.17662520878257137,0.042507948298505654,0.2932056936907195,0.04187756217591715,0.4110074626865671,0.04964614988357525,0.6668871621634013,0.020643255708820835,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,335.0,0.4008955223880597,0.04179211086060258,308.5,0.07928756475448609,0.5991044776119403,0.041792110860602576,0.7556728589025616,0.019570075975702858,0.5903558652888394,0.013620243354276878,0.5903558652888394,0.013620243354276878,0.667888145733549,0.015075904059617779,0.18423942384651112,0.034092867083787046,0.303510982136609,0.03211024319623967,0.4008955223880597,0.04179211086060258,0.6730143620957005,0.015333020792763113,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,402.0,0.391044776119403,0.04030004296564823,370.5,0.09690380096435547,0.6089552238805971,0.040300042965648236,0.7617870561418232,0.01977119183674176,0.5926873637039195,0.013614691943438334,0.5926873637039195,0.013614691943438334,0.6719055476433663,0.01507679202232842,0.19159334751282764,0.03440917654423489,0.3110536427236456,0.032160380957495245,0.391044776119403,0.04030004296564823,0.6772372099228713,0.01534507306645277,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,469.0,0.382409381663113,0.036474111869842396,430.85,0.11325517892837525,0.6175906183368871,0.036474111869842375,0.768845127289134,0.016410099208187215,0.5966539780277553,0.01018086539715797,0.5966539780277553,0.01018086539715797,0.6772858066460252,0.012379013553801724,0.20163413667430247,0.02906495006616599,0.32221674647281945,0.02560025588897988,0.382409381663113,0.036474111869842396,0.6827495526584448,0.012674203417440948,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,536.0,0.3760261194029851,0.03187228491443916,492.45,0.1315726399421692,0.6239738805970151,0.03187228491443917,0.7732817483322577,0.01514560190508477,0.5987349001385437,0.011763089120595831,0.5987349001385437,0.011763089120595831,0.6804238757317392,0.012820611208027553,0.20772443395785872,0.03139321444079776,0.32827055488997703,0.02773483010258093,0.3760261194029851,0.03187228491443916,0.6860083242354007,0.012925326538219399,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,603.0,0.3731343283582089,0.030407557902982215,554.25,0.15194607973098756,0.6268656716417912,0.03040755790298221,0.7762025764710611,0.013462426929162476,0.5991881796287869,0.010607848666056546,0.5991881796287869,0.010607848666056546,0.681969777450034,0.011585040990446034,0.2095750366312151,0.029151242274405326,0.3308493038478811,0.025003760990554194,0.3731343283582089,0.030407557902982215,0.6876953780499241,0.011671833771995686,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,670.0,0.3702985074626865,0.02810927662516927,614.7,0.17346565723419188,0.6297014925373132,0.02810927662516928,0.7790089491164404,0.012421572385632107,0.6016127289189933,0.009065804654001296,0.6016127289189933,0.009065804654001296,0.6845789374716086,0.009970165549189124,0.2147013133841995,0.025434480415658062,0.336595882953998,0.021231081717382836,0.3702985074626865,0.02810927662516927,0.6903108390177168,0.0101061426334156,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,737.0,0.3683853459972863,0.02481778564921934,676.35,0.19039138555526733,0.6316146540027138,0.02481778564921934,0.7811633571272752,0.011813064394882885,0.6022455031267102,0.007229657915202966,0.6022455031267102,0.007229657915202966,0.6858865665990556,0.008714344322098142,0.2164795652326897,0.021243283958951125,0.3390076985627083,0.017926180833195457,0.3683853459972863,0.02481778564921934,0.6917044301269928,0.008947380139549104,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,804.0,0.3671019900497512,0.024898232882938742,737.0,0.20843682289123536,0.6328980099502488,0.02489823288293876,0.7827730651912779,0.01168183518887472,0.6031886835586704,0.008139669308958887,0.6031886835586704,0.008139669308958887,0.6871308228720638,0.009192979263533432,0.2186472468782711,0.022866012754702934,0.34151535963855173,0.01941329609756669,0.3671019900497512,0.024898232882938742,0.692980874374974,0.009348359096303674,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,871.0,0.36572904707233067,0.02628002241012659,798.5,0.22801427841186522,0.6342709529276693,0.026280022410126586,0.7842610254958078,0.011635050038833491,0.604105747244711,0.006961600895797942,0.604105747244711,0.006961600895797942,0.6883099672545192,0.00880994716598308,0.2208135475546409,0.022070584435188684,0.34399887717193384,0.018003660387511732,0.36572904707233067,0.02628002241012659,0.6941833863702594,0.009043021816719767,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,938.0,0.3633262260127932,0.024574890463494946,860.1,0.2498499870300293,0.6366737739872068,0.024574890463494946,0.7863245466519075,0.010389739155001586,0.6043717073428095,0.006361545336525015,0.6043717073428095,0.006361545336525015,0.6893683794671823,0.008016792515194129,0.2222134046016128,0.02067654801484589,0.3457012780477852,0.016439119576687596,0.3633262260127932,0.024574890463494946,0.6953481269973586,0.008213731041843518,abtype2_w25_t0.528
Gaussian_Kernel_Perceptron,1000.0,0.36255,0.023354817490188192,917.35,0.2705272316932678,0.6374500000000001,0.02335481749018819,0.7874722222222224,0.009728529699983291,0.6045682435995509,0.004807420897596398,0.6045682435995509,0.004807420897596398,0.6899839988254278,0.0069709394434823236,0.222814476330672,0.01770843730297364,0.3467506820293737,0.013750759834589711,0.36255,0.023354817490188192,0.6960202329108865,0.007235058826077313,abtype2_w25_t0.528
PA1_L1,67.0,0.4455223880597015,0.061769229691568,66.85,0.0031442165374755858,0.5544776119402985,0.061769229691568006,0.7198938695801647,0.052507807120951766,0.5892874904890569,0.03013070207430412,0.5892874904890569,0.03013070207430412,0.6510581220770228,0.03658786276521021,0.16556268611433772,0.05636940634845141,0.27781350741293903,0.07292691586251851,0.4455223880597015,0.061769229691568,0.654590680034611,0.03757234826906868,abtype2_w25_t0.528
PA1_L1,134.0,0.4615671641791045,0.03150942109484455,130.9,0.01740374565124512,0.5384328358208956,0.03150942109484454,0.7274826347276335,0.02701514022257461,0.5879829640870541,0.016406478927242667,0.5879829640870541,0.016406478927242667,0.6539534657914765,0.019218286092777783,0.158247825973637,0.03198872780571704,0.282180016477975,0.039257514379101806,0.4615671641791045,0.03150942109484455,0.6577327994073439,0.019705040320077655,abtype2_w25_t0.528
PA1_L1,201.0,0.46492537313432825,0.029870432977581053,191.0,0.03499823808670044,0.5350746268656716,0.029870432977581046,0.7301908481664544,0.021267721385828244,0.5898045516016753,0.013853910130681943,0.5898045516016753,0.013853910130681943,0.6562083836617256,0.015487762075032378,0.1596135232559591,0.02802286497779943,0.2870308089114204,0.03193382920204314,0.46492537313432825,0.029870432977581053,0.6599976998840649,0.015835895538170972,abtype2_w25_t0.528
PA1_L1,268.0,0.4619402985074627,0.024485118979884955,246.6,0.05439385175704956,0.5380597014925373,0.024485118979884948,0.734448289737926,0.015030275597485125,0.591201488730099,0.009550789817097801,0.591201488730099,0.009550789817097801,0.6589149376082272,0.010454426919371934,0.16259340311665907,0.019955626682088546,0.29214911864198256,0.021496411852401275,0.4619402985074627,0.024485118979884955,0.6628248892340126,0.010719868060352477,abtype2_w25_t0.528
PA1_L1,335.0,0.4637313432835821,0.016946050703327352,300.5,0.0722235918045044,0.536268656716418,0.016946050703327352,0.7352407186796102,0.011710370579802348,0.5904138364773714,0.007939611237950292,0.5904138364773714,0.007939611237950292,0.6588396473866459,0.008240214222312647,0.16078154373863782,0.01591752930381901,0.29144130344802555,0.017412200507421927,0.4637313432835821,0.016946050703327352,0.6628272775784908,0.008407548746338277,abtype2_w25_t0.528
PA1_L1,402.0,0.4646766169154229,0.013177037450894557,351.85,0.09202426671981812,0.5353233830845772,0.013177037450894564,0.7357782370737469,0.008416990075249672,0.589821757750521,0.0068893096664143436,0.589821757750521,0.0068893096664143436,0.6587494185178591,0.005535241022416232,0.15939445917086534,0.011663043066333619,0.2908058786378592,0.012557566018192457,0.4646766169154229,0.013177037450894557,0.6627999974121339,0.005593582938507218,abtype2_w25_t0.528
PA1_L1,469.0,0.46289978678038385,0.011056624445598432,401.7,0.11141865253448487,0.5371002132196161,0.01105662444559845,0.7374251127213272,0.008542458151173916,0.590683489723174,0.005301965276770924,0.590683489723174,0.005301965276770924,0.6599702280684155,0.004759949429564751,0.1613184500641604,0.008990271724994892,0.2932876892531679,0.009927873112046525,0.46289978678038385,0.011056624445598432,0.6640543012222506,0.004952891935038028,abtype2_w25_t0.528
PA1_L1,536.0,0.4664179104477612,0.011666043433480213,451.5,0.13012137413024902,0.5335820895522387,0.011666043433480197,0.7365528675635086,0.008747285528107072,0.588484508227902,0.005935675160327209,0.588484508227902,0.005935675160327209,0.6583541738242723,0.0057430335803642036,0.1569873975503137,0.01087600807803509,0.2891827361582299,0.012304309464566565,0.4664179104477612,0.011666043433480213,0.6625186878957052,0.005878868787555304,abtype2_w25_t0.528
PA1_L1,603.0,0.46533996683250417,0.013271143631006673,500.25,0.14879401922225952,0.5346600331674959,0.013271143631006673,0.7373543341161147,0.009148890784488382,0.5893056150528572,0.006544741004477244,0.5893056150528572,0.006544741004477244,0.6591724837367445,0.006454359723309034,0.15857424078934973,0.012540179054205737,0.2910110985375455,0.013882740740028394,0.46533996683250417,0.013271143631006673,0.6633299745844858,0.006566605501364527,abtype2_w25_t0.528
PA1_L1,670.0,0.4651492537313432,0.013048182553285452,547.7,0.1667038083076477,0.5348507462686568,0.013048182553285447,0.7382448929210472,0.008787014478892576,0.5881792609222802,0.006071150716231916,0.5881792609222802,0.006071150716231916,0.6589419071269553,0.006173557727290565,0.15708917995141078,0.011937866914471282,0.28973588674450756,0.013229035422279182,0.4651492537313432,0.013048182553285452,0.6632120769216637,0.006294820585508863,abtype2_w25_t0.528
